GENDER,WORK_COUNTRY,AGE,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,avg_discount,Points_Sum,Point_NotFlight,GENDER_label,WORK_COUNTRY_label
Male,CN,42.0,25,22438,12940.0,11909.0,38690,68,27.29166667,212,0.763642802,23938,1,1,15
Female,CN,37.0,12,26286,13025.0,5330.0,46292,179,42.45454545,186,0.638094487,27370,2,0,15
Male,CN,48.0,26,25353,13813.0,13016.0,41952,76,25.12,90,0.702556493,25353,0,1,15
Male,CN,52.0,24,22070,14899.0,7505.0,40479,89,26.91304348,132,0.727754144,22070,0,1,15
Female,CN,51.0,16,26546,9204.0,15985.0,37522,63,43.8,123,0.783911305,26546,0,0,15
Male,CN,51.0,22,27269,7552.0,12781.0,43250,68,31.0952381,154,0.67969896,27269,0,1,15
Male,CN,50.0,28,23073,10823.0,14692.0,43670,9,26.07407407,116,0.670539043,23073,0,1,15
Male,CN,37.0,32,24916,3242.0,3882.0,32965,27,22.4516129,92,0.8868405890000001,24916,0,1,15
Male,CN,31.0,24,25653,640.0,2275.0,38905,72,24.17391304,95,0.751245855,27153,1,1,15
Male,CN,63.0,23,27988,13113.0,15802.0,43022,97,21.40909091,101,0.679024917,27988,0,1,15
Male,CN,53.0,17,21238,14820.0,6104.0,41187,22,43.4375,203,0.7091720690000001,21238,0,1,15
Male,CN,39.0,21,24531,10594.0,10595.0,42695,22,33.65,154,0.683517976,25581,1,1,15
Female,CN,42.0,24,25334,13090.0,12323.0,45890,18,23.30434783,109,0.635855088,25334,0,0,15
Male,CN,45.0,32,26792,13408.0,15704.0,37114,13,23.12903226,114,0.7853017729999999,26792,0,1,15
Male,CN,27.0,20,26730,12854.0,9234.0,33637,85,33.10526316,202,0.865370277,27618,1,1,15
Male,CN,44.0,28,22113,7685.0,15577.0,43992,116,22.18518519,143,0.661496408,22113,0,1,15
Male,CN,45.0,30,25888,11543.0,6963.0,37619,81,22.31034483,104,0.773220447,30037,2,1,15
Male,CN,56.0,23,15871,9730.0,9350.0,45694,8,30.90909091,128,0.636232328,15871,0,1,15
Male,CN,56.0,20,22948,6781.0,13606.0,44618,2,34.36842105,117,0.651060559,23948,1,1,15
Female,CN,33.0,24,25706,5023.0,14398.0,41326,59,28.43478261,168,0.702829212,25950,2,0,15
Male,CN,43.0,22,24683,9895.0,15348.0,43826,33,33.14285714,116,0.661890887,24683,0,1,15
Male,CN,38.0,14,19263,11931.0,12201.0,41848,98,39.92307692,109,0.6928718220000001,19263,0,1,15
Male,CN,57.0,28,24493,11327.0,14110.0,41258,5,26.2962963,117,0.70269984,24493,0,1,15
Male,CN,35.0,24,27862,13073.0,15424.0,39744,30,30.30434783,87,0.72917975,27862,0,1,15
Male,CN,29.0,19,19231,14248.0,11751.0,43415,6,39.38888889,128,0.667368421,19231,0,1,15
Male,CN,54.0,24,25016,10471.0,13578.0,42339,86,27.73913043,123,0.684115591,25016,0,1,15
Male,CN,58.0,27,24638,10866.0,9190.0,44983,40,26.34615385,168,0.643259676,27102,1,1,15
Male,US,62.0,7,16450,0.0,9158.0,41184,43,106.0,257,0.7024053029999999,16450,0,1,80
Male,CN,42.0,26,24287,11094.0,11410.0,38537,75,25.32,154,0.750281029,28261,2,1,15
Female,CN,47.0,18,25821,14586.0,10948.0,31520,15,41.58823529,318,0.916076459,25821,0,0,15
Female,US,22.0,4,21370,2900.0,13219.0,37982,245,116.3333333,311,0.759496077,21370,0,0,80
Male,CN,42.0,21,24446,7339.0,15379.0,37669,25,33.4,143,0.765307547,24446,0,1,15
Male,CN,31.0,15,23569,9360.0,13141.0,40695,111,42.42857143,256,0.708194619,23569,0,1,15
Male,CN,44.0,18,21076,9878.0,7384.0,44905,132,34.70588235,235,0.640813272,22576,1,1,15
Male,US,53.0,3,20936,10300.0,0.0,36696,450,132.0,245,0.783333333,20936,0,1,80
Male,CN,47.0,21,25081,11383.0,14174.0,42576,19,31.4,191,0.674664835,29775,2,1,15
Male,CN,57.0,26,24217,5474.0,10395.0,40558,6,26.4,93,0.707185759,24217,0,1,15
Male,CN,43.0,31,26427,9441.0,15655.0,31985,2,23.16666667,90,0.896563702,26427,0,1,15
Male,CN,37.0,27,25175,1480.0,6520.0,39305,5,23.88461538,80,0.729455794,25175,0,1,15
Male,CN,52.0,33,22582,0.0,9759.0,39879,73,13.75,79,0.71875699,24379,0,1,15
Female,CN,49.0,20,28114,12727.0,11630.0,32828,17,34.78947368,112,0.873052882,28114,0,0,15
Male,CN,44.0,31,27948,11911.0,12431.0,34248,1,23.46666667,106,0.836420229,27948,0,1,15
Female,CN,33.0,10,24890,9514.0,11954.0,36633,32,61.88888889,165,0.781838233,27809,1,0,15
Male,CN,48.0,29,24243,12641.0,11267.0,38985,13,24.28571429,121,0.7338468640000001,24243,0,1,15
Male,CN,46.0,27,25831,635.0,12644.0,37613,34,26.73076923,341,0.760162178,25831,0,1,15
Male,CN,42.0,20,25333,12740.0,6240.0,44058,1,37.26315789,114,0.648182396,25333,0,1,15
Male,CN,42.0,27,25690,9000.0,8752.0,38554,74,19.19230769,116,0.7404225240000001,27661,1,1,15
Male,CN,43.0,32,22170,4687.0,9843.0,43839,42,21.93548387,167,0.650851525,22170,0,1,15
Male,CN,57.0,27,21986,8254.0,14328.0,37385,11,25.73076923,114,0.762654273,21986,0,1,15
Male,CN,58.0,25,25537,13859.0,10441.0,37437,210,21.70833333,109,0.759205866,25537,0,1,15
Male,CN,47.0,25,21807,12231.0,9213.0,41569,6,30.16666667,121,0.682741707,21807,0,1,15
Male,CN,50.0,26,26298,13354.0,11216.0,33228,116,24.56,90,0.853885879,26298,0,1,15
Male,CN,32.0,14,21514,5876.0,13255.0,41674,80,49.38461538,229,0.680823295,21514,0,1,15
Male,CN,48.0,24,22795,11886.0,12208.0,43487,16,30.39130435,133,0.652400488,23825,1,1,15
Male,CC,53.0,7,16368,3490.0,9754.0,43648,83,64.66666667,185,0.649657258,16368,0,1,13
Male,CN,64.0,30,22918,5685.0,12052.0,39932,8,23.5862069,64,0.709492637,22918,0,1,15
Male,CN,41.0,29,23409,12236.0,13441.0,42806,127,20.03571429,98,0.661452834,24544,1,1,15
Male,AU,39.0,6,21403,8900.0,6309.0,39918,10,112.8,188,0.709187835,21403,0,1,5
Female,CN,36.0,14,24634,8195.0,15795.0,39023,80,32.15384615,78,0.7252107729999999,27098,1,0,15
Male,CN,30.0,25,26361,6373.0,12588.0,34061,14,28.25,109,0.830337042,26361,0,1,15
Male,CN,46.0,29,20148,7178.0,15064.0,46140,19,24.75,204,0.611704378,20948,1,1,15
Male,CN,48.0,30,21869,9948.0,9916.0,39091,6,24.89655172,102,0.721958251,21869,0,1,15
Male,CN,41.0,19,28022,4872.0,10486.0,33624,4,37.55555556,205,0.838934987,28022,1,1,15
Male,CN,38.0,15,24998,11261.0,11428.0,34276,15,47.14285714,229,0.822896779,24998,0,1,15
Male,CN,64.0,18,20390,7548.0,4660.0,39386,10,32.64705882,112,0.71588534,20390,0,1,15
Female,CN,47.0,22,23399,7956.0,15801.0,39063,9,34.38095238,138,0.721744618,23399,0,0,15
Male,CN,49.0,29,24536,10684.0,9621.0,34210,15,25.42857143,110,0.8238494590000001,24536,0,1,15
Male,CN,54.0,24,25867,8225.0,14321.0,40592,5,28.95652174,114,0.694095635,25867,0,1,15
Male,CN,47.0,26,21912,14171.0,11181.0,41994,122,23.92,123,0.6707958279999999,21912,0,1,15
Male,CN,55.0,31,24847,8012.0,5048.0,37662,106,19.46666667,154,0.7474669429999999,25735,1,1,15
Male,CN,47.0,31,22685,10710.0,8209.0,39833,8,23.33333333,185,0.706423317,23523,2,1,15
Male,TH,39.0,13,19305,10540.0,5564.0,36628,237,37.5,184,0.7681746209999999,19305,0,1,74
Male,CN,44.0,28,24788,11617.0,11856.0,41286,5,20.18518519,74,0.6812280190000001,24788,0,1,15
Female,CN,49.0,23,25563,11099.0,11780.0,34315,1,30.81818182,189,0.81877692,25563,0,0,15
Male,CN,47.0,12,17970,11693.0,2686.0,38017,9,64.45454545,271,0.738729779,17970,0,1,15
Male,SG,57.0,28,23687,10931.0,11569.0,38434,68,24.22222222,113,0.7305112659999999,23687,0,1,69
Male,CN,48.0,22,27101,13050.0,13111.0,28381,76,29.9047619,124,0.98897678,27601,1,1,15
Male,CN,48.0,29,25272,8500.0,8543.0,37760,31,24.89285714,95,0.7424001590000001,25272,0,1,15
Male,CN,41.0,29,24186,9950.0,15133.0,40515,116,20.89285714,88,0.6915648529999999,24186,1,1,15
Male,CN,34.0,20,24683,11222.0,7236.0,35582,57,34.31578947,157,0.787288517,24683,0,1,15
Male,CN,50.0,27,25141,4792.0,5566.0,30965,43,26.07692308,74,0.904448571,25141,0,1,15
Male,CN,55.0,24,26238,12298.0,11527.0,32585,29,30.13043478,134,0.859417523,26238,0,1,15
Male,CN,56.0,25,22888,14107.0,8790.0,36489,27,27.45833333,193,0.7672964459999999,22888,0,1,15
Male,CN,47.0,31,26583,10012.0,15654.0,35086,105,20.56666667,125,0.7964401759999999,26738,0,1,15
Male,CN,34.0,18,25914,9860.0,14528.0,34406,58,36.88235294,160,0.8119022840000001,27034,2,1,15
Male,CN,30.0,11,25811,13678.0,6958.0,36241,66,53.3,161,0.7704249329999999,25811,0,1,15
Male,CN,43.0,6,24121,13295.0,1900.0,39206,15,111.0,365,0.711586492,24121,0,1,15
Male,CN,46.0,31,24249,11024.0,15291.0,37806,1,23.03333333,197,0.7375286990000001,24805,0,1,15
Male,CN,47.0,19,26141,6541.0,14791.0,38670,23,35.0,201,0.720737005,26141,0,1,15
Male,CN,59.0,28,23715,10853.0,15256.0,37608,56,20.74074074,94,0.7408990109999999,23715,0,1,15
Male,CN,35.0,32,22860,11794.0,13785.0,36878,12,20.51612903,78,0.755088671,22860,0,1,15
Male,UV,46.0,5,22487,3900.0,6447.0,39074,346,45.75,172,0.7126094079999999,22487,0,1,81
Male,MX,61.0,6,22136,10676.0,607.0,37869,233,57.4,198,0.73514088,22136,0,1,48
Male,CN,36.0,26,23002,11266.0,14475.0,39495,2,27.64,142,0.704801114,23002,0,1,15
Male,CN,46.0,25,24809,7480.0,15487.0,32979,4,28.625,94,0.843893387,24809,0,1,15
Male,CN,33.0,29,20969,890.0,8106.0,39301,1,25.85714286,93,0.7079127759999999,20969,1,1,15
Male,CN,44.0,23,23196,12857.0,1324.0,34478,121,26.95454545,146,0.806693544,23196,0,1,15
Male,CN,34.0,26,26780,13792.0,10205.0,36856,20,24.72,123,0.752494845,26780,0,1,15
Male,CN,37.0,28,25166,9376.0,15405.0,37655,107,21.18518519,58,0.736494755,25166,0,1,15
Male,CN,27.0,22,23680,9940.0,14290.0,40967,1,34.33333333,106,0.6767835090000001,23680,0,1,15
Male,CN,38.0,31,23838,12224.0,15462.0,41719,36,22.23333333,116,0.664568182,25124,1,1,15
Male,JP,38.0,12,22881,11956.0,10050.0,38760,23,58.45454545,181,0.715,24053,2,1,35
Male,CN,41.0,17,27108,7230.0,15054.0,28562,39,28.875,97,0.970155801,27108,0,1,15
Male,CN,29.0,17,20064,12833.0,7964.0,40454,14,43.3125,158,0.684663568,20064,0,1,15
Male,SG,51.0,24,20674,14211.0,9323.0,40454,94,25.34782609,139,0.68448015,20674,0,1,69
Female,CN,43.0,22,23251,10765.0,13462.0,39108,110,28.19047619,91,0.70785517,23251,0,0,15
Male,CN,29.0,24,16014,12500.0,14350.0,42399,36,21.0,149,0.652880728,16014,0,1,15
Female,CN,35.0,25,19639,13089.0,10567.0,39778,105,25.95833333,102,0.695658404,19639,0,0,15
Male,CN,50.0,23,21664,13396.0,11126.0,41493,120,23.72727273,186,0.666615092,21664,0,1,15
Male,CN,36.0,22,24987,8936.0,15792.0,40678,8,33.0952381,108,0.6798136579999999,24987,1,1,15
Male,CN,46.0,23,23341,11271.0,13930.0,45243,36,29.27272727,173,0.611207701,24132,2,1,15
Male,CN,57.0,19,21450,10862.0,10642.0,39959,3,39.55555556,176,0.691998799,21450,0,1,15
Male,CN,45.0,32,25949,13115.0,10958.0,33751,10,23.25806452,76,0.818407455,25949,0,1,15
Male,CN,46.0,20,20523,11690.0,4460.0,43098,124,30.89473684,93,0.6402067379999999,20523,0,1,15
Male,CN,55.0,23,25682,12047.0,10109.0,35917,27,24.68181818,120,0.768061642,28146,1,1,15
Male,BE,47.0,30,24726,12516.0,12350.0,40981,15,21.68965517,102,0.672870355,25914,1,1,7
Male,CN,39.0,23,25471,1723.0,3198.0,32470,6,30.63636364,146,0.849218355,25471,0,1,15
Male,CN,57.0,27,20807,7967.0,12823.0,43726,9,27.53846154,196,0.629864154,20807,0,1,15
Female,HK,46.0,21,22154,9228.0,12509.0,42920,70,24.35,84,0.641638164,22154,0,0,27
Male,CN,44.0,15,22791,12699.0,7987.0,37462,24,48.21428571,144,0.734710106,22791,0,1,15
Male,US,54.0,3,20936,9620.0,0.0,36696,471,93.0,103,0.75,20936,0,1,80
Male,CN,40.0,28,24600,10671.0,14502.0,38834,70,24.11111111,172,0.708625431,24600,0,1,15
Male,CN,39.0,29,21174,14201.0,10673.0,38408,108,20.85714286,117,0.7162747340000001,21174,0,1,15
Male,CN,42.0,21,25145,9443.0,15059.0,31607,53,31.3,108,0.870277787,25145,0,1,15
Female,AU,50.0,5,19495,7000.0,6750.0,37982,47,117.0,318,0.7239608240000001,19495,0,0,5
Male,CN,35.0,20,25944,9863.0,14236.0,37415,8,37.63157895,212,0.734562609,25944,0,1,15
Male,CN,44.0,18,26529,11370.0,10060.0,25995,132,28.05882353,104,1.05726255,27178,1,1,15
Male,CN,43.0,23,21318,8511.0,9967.0,36986,17,30.45454545,243,0.742486887,21810,1,1,15
Female,CN,32.0,4,25785,6250.0,9082.0,41628,60,124.3333333,322,0.659490727,27285,1,0,15
Male,KR,50.0,31,21002,10730.0,7933.0,36146,61,22.23333333,98,0.75923062,21002,0,1,39
Male,CN,47.0,28,20312,10370.0,14029.0,43453,22,23.7037037,74,0.631326721,20312,0,1,15
Male,CN,44.0,23,23010,14612.0,10043.0,36497,106,26.27272727,96,0.7515532779999999,23010,0,1,15
Male,CN,44.0,27,18170,9095.0,14568.0,39461,14,16.0,46,0.694582246,18170,0,1,15
Male,CN,37.0,20,27052,12480.0,12367.0,31206,32,36.68421053,103,0.878286868,27052,0,1,15
Male,CN,41.0,32,22203,12253.0,11444.0,43381,126,19.51612903,108,0.6317687470000001,22203,0,1,15
Male,CN,39.0,15,17902,12261.0,5567.0,39050,205,37.21428571,227,0.701586684,17902,0,1,15
Male,CN,46.0,26,20569,8920.0,14503.0,40685,106,22.6,98,0.6729834090000001,20945,1,1,15
Male,CN,56.0,18,21298,6424.0,13668.0,30273,17,30.17647059,72,0.903737654,21298,0,1,15
Male,CN,46.0,15,24296,7999.0,9651.0,30774,242,34.0,126,0.888990706,24296,0,1,15
Male,CN,48.0,14,24918,10300.0,13691.0,29098,68,45.15384615,144,0.940062891,27463,1,1,15
Male,CN,55.0,21,23306,8571.0,15228.0,39417,79,24.8,109,0.693581703,23306,0,1,15
Female,CN,64.0,20,26217,11575.0,10582.0,34379,11,37.57894737,121,0.794837837,26217,0,0,15
Female,CN,44.0,25,18995,8258.0,14890.0,46116,15,29.25,166,0.5922976839999999,19513,1,0,15
Female,CN,46.0,22,24927,9565.0,14263.0,40807,44,24.66666667,78,0.669330752,24939,1,0,15
Male,CN,46.0,25,24416,14589.0,9966.0,41701,94,26.33333333,92,0.654530347,24416,0,1,15
Male,ID,42.0,17,21652,12648.0,2965.0,40524,310,26.1875,157,0.673146777,21652,0,1,29
Female,CN,30.0,6,16395,12710.0,0.0,43590,419,44.8,111,0.625290204,16395,0,0,15
Male,CN,47.0,23,23267,10976.0,11096.0,32263,200,17.0,57,0.844531817,23267,0,1,15
Male,CN,48.0,17,23806,14466.0,8012.0,31186,75,38.5625,201,0.8734662990000001,23806,0,1,15
Female,CN,37.0,30,22894,10505.0,9598.0,43164,96,21.51724138,125,0.631064081,30894,2,0,15
Male,CN,36.0,20,21490,10800.0,12809.0,39015,84,32.57894737,114,0.698152762,22253,1,1,15
Male,AU,34.0,9,17139,3405.0,11272.0,43522,13,53.25,277,0.6257439920000001,17139,0,1,5
Male,CN,37.0,13,17900,6644.0,8417.0,38582,27,31.75,161,0.70578871,17900,0,1,15
Male,CN,42.0,30,20947,8561.0,15537.0,44005,1,24.31034483,150,0.618789228,20947,0,1,15
Female,CN,41.0,14,23153,8859.0,13213.0,37028,151,30.61538462,153,0.735241169,25617,1,0,15
Male,CN,39.0,28,26133,1400.0,12463.0,37122,19,14.96296296,59,0.73319514,27319,0,1,15
Male,CN,65.0,17,25772,11104.0,11906.0,32200,25,42.6875,194,0.845042547,25772,0,1,15
Male,CN,39.0,22,23552,13464.0,10224.0,36318,10,30.52380952,133,0.748443196,24044,1,1,15
Male,HK,60.0,19,22869,9359.0,13747.0,38625,5,39.83333333,113,0.703654628,22869,0,1,27
Male,CN,28.0,16,21681,10019.0,10357.0,41224,103,39.86666667,162,0.659277363,21681,0,1,15
Male,US,51.0,3,20936,0.0,9000.0,36696,79,116.5,229,0.74,20936,0,1,80
Male,CN,53.0,18,21648,12842.0,8563.0,39665,44,39.17647059,175,0.6841759740000001,21648,0,1,15
Female,CN,40.0,24,26062,6144.0,6396.0,32026,47,29.0,133,0.847215075,26062,0,0,15
Male,CN,41.0,18,21902,11671.0,11639.0,35415,14,38.11764706,194,0.765807991,21902,0,1,15
Male,CN,49.0,21,21520,7869.0,12098.0,45253,3,34.05,141,0.599285351,23628,1,1,15
Male,CN,42.0,18,23423,14475.0,1615.0,38282,124,31.11764706,364,0.7083078209999999,23423,0,1,15
Female,CN,47.0,20,17676,14612.0,6194.0,45181,56,34.63157895,246,0.600128151,17676,0,0,15
Male,CN,53.0,16,25554,9243.0,15287.0,34129,123,32.73333333,239,0.794277008,25554,0,1,15
Male,CN,42.0,16,27468,8619.0,14089.0,41774,11,28.33333333,97,0.648547661,27468,0,1,15
Male,CN,50.0,29,23233,11543.0,13825.0,39454,12,24.85714286,144,0.686646981,23233,0,1,15
Male,CN,60.0,21,23440,1525.0,4074.0,28672,117,30.2,97,0.944599609,23440,0,1,15
Male,CN,48.0,20,21215,7994.0,12455.0,34455,8,37.47368421,170,0.7860388909999999,21215,0,1,15
Male,CN,36.0,29,25254,14396.0,12133.0,37383,1,26.03571429,110,0.724001819,25254,0,1,15
Male,CN,47.0,18,22415,10763.0,12042.0,37386,89,36.64705882,83,0.723888889,22415,0,1,15
Female,CN,58.0,27,20223,6377.0,9369.0,40592,11,25.73076923,110,0.666185948,20223,0,0,15
Female,CN,32.0,17,20284,10485.0,11236.0,43527,44,40.125,141,0.621114481,20284,0,0,15
Male,HK,53.0,25,22779,11029.0,12205.0,41773,72,26.91666667,120,0.647145285,22779,0,1,27
Male,CN,52.0,25,22169,14885.0,9518.0,40581,72,25.0,116,0.6653675370000001,22169,0,1,15
Female,CN,38.0,22,19626,13612.0,8125.0,40025,127,28.47619048,153,0.674328545,19626,0,0,15
Male,CN,42.0,20,22540,9283.0,15406.0,39740,25,32.52631579,109,0.6790382490000001,22540,0,1,15
Male,US,57.0,22,24049,8917.0,10755.0,39607,66,30.14285714,118,0.6810682459999999,24049,0,1,80
Male,CN,51.0,24,22076,11229.0,12264.0,38040,129,24.0,69,0.7089277079999999,22076,0,1,15
Male,AU,39.0,27,21822,12669.0,9370.0,39873,10,27.57692308,107,0.6760805559999999,21822,0,1,5
Male,CN,41.0,30,22662,7488.0,15643.0,37457,12,22.48275862,85,0.719410257,22967,2,1,15
